Curso,Rama,Categoria,Estilo,Distancia,Tiempo
Largo,Varonil,13-14,Pecho,100,1:15.38
Largo,Varonil,15-16,Pecho,100,1:14.18
Largo,Varonil,17 & May,Pecho,100,1:13.57
Largo,Varonil,11-12,Pecho,200,3:04.67
Largo,Varonil,13-14,Pecho,200,2:52.46
Largo,Varonil,15-16,Pecho,200,2:44.62
Largo,Varonil,17 & May,Pecho,200,2:41.73
Largo,Varonil,11-12,Mariposa,50,0:31.83
Largo,Varonil,13-14,Mariposa,50,0:30.01
Largo,Varonil,15-16,Mariposa,50,0:29.13
Largo,Varonil,17 & May,Mariposa,50,0:28.53
Largo,Varonil,11-12,Mariposa,100,1:14.39
Largo,Varonil,13-14,Mariposa,100,1:08.60
Largo,Varonil,15-16,Mariposa,100,1:02.51
Largo,Varonil,17 & May,Mariposa,100,1:01.30
Largo,Varonil,11-12,Mariposa,200,2:44.78
Largo,Varonil,13-14,Mariposa,200,2:36.56
Largo,Varonil,15-16,Mariposa,200,2:26.28
Largo,Varonil,17 & May,Mariposa,200,2:22.70
Largo,Varonil,11-12,C. Ind,200,2:40.97
Largo,Varonil,13-14,C. Ind,200,2:31.36
Largo,Varonil,15-16,C. Ind,200,2:26.17
Largo,Varonil,17 & May,C. Ind,200,2:24.22
Largo,Varonil,13-14,C. Ind,400,5:10.12
Largo,Varonil,15-16,C. Ind,400,5:02.22
Largo,Varonil,17 & May,C. Ind,400,4:59.56
Corto,Femenil,11-12,Libre,50,0:31.56
Corto,Femenil,13-14,Libre,50,0:30.18
Corto,Femenil,15-16,Libre,50,0:29.81
Corto,Femenil,17 & May,Libre,50,0:29.01
Corto,Femenil,11-12,Libre,100,1:05.99
Corto,Femenil,13-14,Libre,100,1:03.44
Corto,Femenil,15-16,Libre,100,1:02.90
Corto,Femenil,17 & May,Libre,100,1:02.21
Corto,Femenil,11-12,Libre,200,2:23.55
Corto,Femenil,13-14,Libre,200,2:20.75
Corto,Femenil,15-16,Libre,200,2:14.53
Corto,Femenil,17 & May,Libre,200,2:13.71
Corto,Femenil,11-12,Libre,400,5:22.36
Corto,Femenil,13-14,Libre,400,4:56.81
Corto,Femenil,15-16,Libre,400,4:40.81
Corto,Femenil,17 & May,Libre,400,4:37.94
Corto,Femenil,11-12,Libre,800,10:26.48
Corto,Femenil,13-14,Libre,800,10:16.79
Corto,Femenil,15-16,Libre,800,9:35.38
Corto,Femenil,17 & May,Libre,800,9:33.42
Corto,Femenil,13-14,Libre,1500,18:43.19
Corto,Femenil,15-16,Libre,1500,18:35.23
Corto,Femenil,17 & May,Libre,1500,18:27.33
Corto,Femenil,11-12,Dorso,50,0:36.11
Corto,Femenil,13-14,Dorso,50,0:35.52
Corto,Femenil,15-16,Dorso,50,0:33.87
Corto,Femenil,17 & May,Dorso,50,0:33.64
